ID,exerciseName,chest,core,Arm,Shoulders,Back,Legs and Glutes,"Back,Arm",Lower Pectoralis Major,Upper Pectoralis Major,Anterior Deltoid,Triceps Brachii,Tensor Fasciae Latae, Sartorius, Pectineus, Adductor Longus, Adductor Brevis, Rectus Abdominis,Iliopsoas, Rectus Femoris, Quadriceps, Serratus Anterior , Latissimus Dorsi, Pectoralis Minor, Rhomboids, Levator Scapulae, Teres Major,Biceps Brachii, Brachialis, Brachioradialis, Internal and External Obliques, Rectus Abdominis.0.25,Infraspinatus, Teres Minor, Lateral Deltoid, Middle and Lower Trapezius,Hamstrings,Adductor Magnus,Gracilis,Obliques, Gluteus Maximus,Supraspinatus,Posterior Deltoid,Pectoralis Major,Quadratus Lumborum,Psoas Major,Iliocastalis Lumborum,Iliocastalis Thoracis,Soleus,Gastrocnemius,Popliteus,Gluteus Medius,Gluteus Minimus,Flexor Carpi Radialis,Anconeus,Dynamic stabilizer,Triceps Brachii','Sternal (Lower) Pectoralis Major','Lower Pectoralis Major','Clavicular (Upper) Pectoralis Major','Pectoralis Major','Iliopsoas','Rectus Abdominis','Erector Spinae',"'rector Spinae, Internal and External Obliques, Rectus Abdominis'",'Wrist Extensors','Brachioradialis','Biceps Brachii','Brachialis','Posterior Deltoid','Anterior Deltoid','Infraspinatus','back in general','Lateral Deltoid','Internal and External Obliques',"'Latissimus Dorsi, Sternal (Lower) Pectoralis Major, Rectus Abdominis'",'Hamstrings','Quadriceps',"'Vastus lateralis, Vastus intermedius (deep), Rectus femoris, Vastus medialis'","'Tensor Fasciae Latae, Gluteus Medius, Gluteus Minimus'","'Gluteus Maximus, Quadriceps'",'Gluteus Maximus','Upper Pectoralis Major',"'Rectus Abdominis, Iliopsoas'",'Upper Trapezius',"'Gluteus Maximus, Erector Spinae'",'Latissimus Dorsi','Supinator','Pronators '
41,Bent-over barbell reverse raise,0,0,0,1,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Seated alternating dumbbell front raise,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dumbbell lying external shoulder rotation,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Reverse dumbbell fly,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Cable one-Arm front raise,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Prone incline wide-grip upright row,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Head-supported reverse dumbbell fly,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Back extension on stability ball,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Dumbbell renegade row,0,0,0,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Side-lying reverse dumbbell fly,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
