ID,exerciseName,targetedMuscle,Dynamic stabilizer,Mechanics,Force,generalMuscle,isNeedEquipment,bench,Dumbbell,barbell,stability ball,dip machine,pull-up bar,cable machine,Lower Pectoralis Major,Upper Pectoralis Major,Anterior Deltoid,Triceps Brachii,Tensor Fasciae Latae, Sartorius, Pectineus, Adductor Longus, Adductor Brevis, Rectus Abdominis,Iliopsoas, Rectus Femoris, Quadriceps, Serratus Anterior , Latissimus Dorsi, Pectoralis Minor, Rhomboids, Levator Scapulae, Teres Major,Biceps Brachii, Brachialis, Brachioradialis, Internal and External Obliques, Rectus Abdominis,Infraspinatus, Teres Minor, Lateral Deltoid, Middle and Lower Trapezius,Hamstrings,Adductor Magnus,Gracilis,Obliques, Gluteus Maximus,Supraspinatus,Posterior Deltoid,Pectoralis Major,Quadratus Lumborum,Psoas Major,Iliocastalis Lumborum,Iliocastalis Thoracis,Soleus,Gastrocnemius,Popliteus,Gluteus Medius,Gluteus Minimus,Flexor Carpi Radialis,Anconeus
53,Weighted-stability-ball-side-bend,Internal-and-External-Obliques,null,Isolation,Pull,Back,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
54,Superman-push-up,"Latissimus-Dorsi,-Sternal-(Lower)-Pectoralis-Major,-Rectus-Abdominis",null,Isolation,Pull,Back,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,Lying-single-straight-leg-hip-extension,Hamstrings,null,Isolation,Push,Back,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Barbell-split-squat,Quadriceps,"Hamstrings,-Gastrocnemius",Compound,Push,Legs-and-Glutes,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,Lunge,"Vastus-lateralis,-Vastus-intermedius-(deep),-Rectus-femoris,-Vastus-medialis","Gastrocnemius,-medial-head,-Gastrocnemius,-lateral-head,-Biceps-femoris,--Semitendinosus,-Semimembranosus",Compound,Push,Legs-and-Glutes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,Stability-ball-leg-curl,Hamstrings,null,Isolation,Pull,Legs-and-Glutes,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
59,Side-plank-hip-abduction,"Tensor-Fasciae-Latae,-Gluteus-Medius,-Gluteus-Minimus",null,Compound,Push,Legs-and-Glutes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
60,Jump-squat,Quadriceps,"Hamstrings,-Gastrocnemius",Compound,Push,Legs-and-Glutes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,Dumbbell-forward-leaning-lunge,"Gluteus-Maximus,-Quadriceps","Hamstrings,-Gastrocnemius",Compound,Push,Legs-and-Glutes,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,Bicycle-crunch,Rectus-Abdominis,Rectus-Femoris,Compound,Pull,Legs-and-Glutes,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Bodyweight-sumo-squat,Quadriceps,"Hamstrings,-Gastrocnemius",Compound,Push,Legs-and-Glutes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,Lying-alternating-straight-leg-raise,Iliopsoas,Rectus-Femoris,Isolation,Pull,Legs-and-Glutes,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Hip-thrust,Gluteus-Maximus,Hamstrings,Isolation,Push,Legs-and-Glutes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Step-up,Quadriceps,Hamstrings,Compound,Push,Legs-and-Glutes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
67,Decline-dumbbell-bench-press,Lower-Pectoralis-Major,Biceps-Brachii,Compound,Push,chest,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Incline-cable-bench-press,Upper-Pectoralis-Major,Biceps-Brachii,Compound,Push,chest,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
